interview_id,evaluation_item_id,score,reason
INT-0001,logical_thinking,4,結論と具体例の順序が分かりやすかった
INT-0001,communication,4,質問の意図を理解して簡潔に回答していた
INT-0001,collaboration,4,対立時に双方の意見を整理する姿勢がある
INT-0001,enthusiasm,3,
INT-0002,logical_thinking,3,
INT-0002,communication,3,内容は具体的だが回答がやや長かった
INT-0002,collaboration,3,
INT-0002,enthusiasm,5,自ら提案して周囲を巻き込んでいる
INT-0003,logical_thinking,4,
INT-0003,communication,5,質問に対して要点を明確に回答していた
INT-0003,collaboration,5,進捗共有と作業分担の経験が具体的だった
INT-0003,enthusiasm,3,
INT-0004,logical_thinking,4,失敗と改善策の関係が明確だった
INT-0004,communication,3,
INT-0004,collaboration,3,
INT-0004,enthusiasm,4,自ら学習して試作する姿勢がある
INT-0005,logical_thinking,5,原因の切り分けと改善結果を数値で説明していた
INT-0005,communication,4,
INT-0005,collaboration,4,
INT-0005,enthusiasm,4,入社後の取り組みを具体的に考えている
