interview_id,question_no,question,answer,answer_summary
INT-0001,1,志望理由を教えてください,これまでのWeb開発経験を生かして利用者の業務改善に貢献したいと考えたためです,Web開発経験を生かして利用者の業務改善に貢献したい
INT-0001,2,これまでに最も力を入れた仕事を教えてください,社内申請システムの刷新を担当し利用部門への聞き取りからリリースまで進めました,社内申請システムの刷新を要件確認からリリースまで担当した
INT-0001,3,チーム内で意見が対立したときはどうしますか,双方の目的と懸念を整理して共通点を確認してから小さな検証を提案します,目的と懸念を整理し小さな検証で合意形成する
INT-0002,1,志望理由を教えてください,新規サービスの立ち上げに関わり自分の提案を形にしたいと思い応募しました,新規サービスで自分の提案を形にしたい
INT-0002,2,困難な課題を解決した経験を教えてください,売上低下の原因を調べ顧客アンケートと利用データを基に改善策を実施しました,顧客の声とデータを用いて売上低下の改善策を実施した
INT-0002,3,チームでどのような役割を担うことが多いですか,アイデアを出して周囲を巻き込みながら最初の一歩を進める役割が多いです,提案と働きかけによってチームの行動を促すことが多い
INT-0003,1,志望理由を教えてください,チームで顧客の課題を解決するという方針に共感しこれまでの経験を生かせると考えました,協働を重視する方針に共感し経験を生かしたい
INT-0003,2,チームで成果を出した経験を教えてください,五人のチームで毎日進捗を共有し遅れている作業を分担して期限内に完了しました,進捗共有と作業分担によってチームで期限を守った
INT-0003,3,周囲からどのような人だと言われますか,相談しやすく情報共有が丁寧だと言われることが多いです,相談しやすく情報共有が丁寧だと評価されている
INT-0004,1,志望理由を教えてください,専門知識を深めながら幅広い案件を経験できる環境に魅力を感じました,専門性を高めながら幅広い案件を経験したい
INT-0004,2,失敗から学んだ経験を教えてください,確認不足で手戻りを発生させたため以降は作業前に認識を文書で共有するようにしました,確認不足の反省から作業前の文書共有を習慣化した
INT-0004,3,新しい技術をどのように学びますか,公式資料を読んで小さなサンプルを作り業務で使える場面を検討します,公式資料と試作を通じて新技術を学ぶ
INT-0005,1,志望理由を教えてください,技術を使って複雑な業務を分かりやすくする製品開発に携わりたいと考えています,技術によって複雑な業務を改善する製品を開発したい
INT-0005,2,技術的な問題を解決した経験を教えてください,処理速度の低下を計測して原因となるクエリを特定しインデックス追加で応答時間を半分にしました,計測により原因を特定しデータベース改善で応答時間を半減した
INT-0005,3,入社後に取り組みたいことを教えてください,まず既存サービスと利用者を理解し将来は性能改善と設計の標準化を進めたいです,利用者理解を優先し将来は性能改善と設計標準化に取り組みたい
